	r_TFm_PYPL_neg_good9_mult_28	r_TFm_PYPL_neg_good9_mult_64	r_TFm_PYPL_neg_good9_mult_128	TFm_PYPL_neg_good9_mult_conv2	TFm_PYPL_neg_good9_mult_conv2_per	r_TFm_PYPL_neg_good9_mult_conv	TFm_PYPL_neg_good9__simp_cordo	TFm_PYPL_neg_good9__simp_cordo_per	r_TFm_PYPL_neg_good9_mult_linear	TFm_PYPL_neg_good9_mult_dense2	TFm_PYPL_neg_good9_mult_dense2_per	TFm_PYPL_neg_good9_mult_lstm	TFm_PYPL_neg_good9_mult_lstm_per	r_TFm_PYPL_neg_good9__mult_gru
acc_per				86.11	-1.0	-1	77.91	-1.0	-1	86.04	-1.0	92.19	-1.0	-1
loss				0.32	-1.0	-1	0.49	-1.0	-1	0.33	-1.0	0.20	-1.0	-1
epochs				9	-1.0	-1	8	-1.0	-1	10	-1.0	9	-1.0	-1
df_test_%				7.8	-1.0	-1	7.8	-1.0	-1	3.9	-1.0	8.3	-1.0	-1
positives				9	-1.0	-1	9	-1.0	-1	9	-1.0	9	-1.0	-1
count				275.0	-1.0	-1	275.0	-1.0	-1	275.0	-1.0	275.0	-1.0	-1
mean				0.5579	-1.0	-1	0.5281	-1.0	-1	0.5498	-1.0	0.56	-1.0	-1
std				0.2879	-1.0	-1	0.0912	-1.0	-1	0.2458	-1.0	0.2994	-1.0	-1
min				0.0513	-1.0	-1	0.3449	-1.0	-1	0.0311	-1.0	0.0208	-1.0	-1
25%				0.1779	4.37	-1	0.4196	4.37	-1	0.3155	4.37	0.2556	4.37	-1
50%				0.6563	5.11	-1	0.5665	5.07	-1	0.6472	5.07	0.6121	5.84	-1
60%				0.699	5.45	-1	0.5741	6.36	-1	0.7201	6.36	0.7181	5.45	-1
70%				0.7427	4.82	-1	0.5809	6.02	-1	0.7506	6.02	0.8119	6.02	-1
75%				0.7641	5.8	-1	0.586	5.8	-1	0.7632	7.25	0.8447	5.8	-1
80%				0.8011	3.64	-1	0.5937	5.45	-1	0.781	9.09	0.8667	5.45	-1
85%				0.8456	4.76	-1	0.6007	7.14	-1	0.7956	7.32	0.8927	7.14	-1
86%				0.8519	5.13	-1	0.6029	7.69	-1	0.7979	7.69	0.8956	7.69	-1
87%				0.8571	5.56	-1	0.6054	8.33	-1	0.8015	5.56	0.9025	8.33	-1
88%				0.8631	6.06	-1	0.6099	6.06	-1	0.8052	3.03	0.9067	9.09	-1
89%				0.8715	6.45	-1	0.6122	6.45	-1	0.8107	3.33	0.9094	6.45	-1
90%				0.8779	7.14	-1	0.615	7.14	-1	0.8123	3.57	0.917	7.14	-1
91%				0.883	8.0	-1	0.6157	8.0	-1	0.8137	4.0	0.9192	8.0	-1
92%				0.8924	9.09	-1	0.6199	9.09	-1	0.8163	4.55	0.9207	9.09	-1
93%				0.8984	10.0	-1	0.6229	10.0	-1	0.8221	5.0	0.9231	10.0	-1
94%				0.903	11.76	-1	0.6258	5.88	-1	0.825	5.88	0.9342	5.88	-1
95%				0.9081	7.14	-1	0.6272	7.14	-1	0.8297	7.14	0.9457	7.14	-1
96%				0.918	8.33	-1	0.6285	9.09	-1	0.8342	9.09	0.95	8.33	-1
97%				0.9182	11.11	-1	0.6304	11.11	-1	0.8363	11.11	0.9529	11.11	-1
98%				0.9208	16.67	-1	0.6314	16.67	-1	0.8399	16.67	0.958	16.67	-1
max				0.9401	-1.0	-1	0.642	-1.0	-1	0.9057	-1.0	0.9849	-1.0	-1
