	TFm_PYPL_pos_good9_mult_28	TFm_PYPL_pos_good9_mult_28_per	TFm_PYPL_pos_good9_mult_64	TFm_PYPL_pos_good9_mult_64_per	TFm_PYPL_pos_good9_mult_128	TFm_PYPL_pos_good9_mult_128_per	TFm_PYPL_pos_good9_mult_conv2	TFm_PYPL_pos_good9_mult_conv2_per	r_TFm_PYPL_pos_good9_mult_conv	r_TFm_PYPL_pos_good9__simp_cordo	r_TFm_PYPL_pos_good9_mult_linear	TFm_PYPL_pos_good9_mult_dense2	TFm_PYPL_pos_good9_mult_dense2_per	TFm_PYPL_pos_good9_mult_lstm	TFm_PYPL_pos_good9_mult_lstm_per	TFm_PYPL_pos_good9__mult_gru	TFm_PYPL_pos_good9__mult_gru_per
acc_per	83.96	-1.0	87.13	-1.0	93.73	-1.0	93.92	-1.0	-1	-1	-1	86.16	-1.0	91.98	-1.0	88.23	-1.0
loss	0.38	-1.0	0.30	-1.0	0.18	-1.0	0.15	-1.0	-1	-1	-1	0.32	-1.0	0.19	-1.0	0.29	-1.0
epochs	14	-1.0	10	-1.0	9	-1.0	14	-1.0	-1	-1	-1	8	-1.0	9	-1.0	8	-1.0
df_test_%	26.9	-1.0	21.4	-1.0	14.6	-1.0	14.0	-1.0	-1	-1	-1	16.4	-1.0	23.2	-1.0	7.7	-1.0
positives	15	-1.0	15	-1.0	15	-1.0	15	-1.0	-1	-1	-1	15	-1.0	15	-1.0	15	-1.0
count	278.0	-1.0	278.0	-1.0	278.0	-1.0	278.0	-1.0	-1	-1	-1	278.0	-1.0	278.0	-1.0	278.0	-1.0
mean	0.412	-1.0	0.4411	-1.0	0.5228	-1.0	0.412	-1.0	-1	-1	-1	0.6026	-1.0	0.6353	-1.0	0.5272	-1.0
std	0.2639	-1.0	0.2146	-1.0	0.2212	-1.0	0.3763	-1.0	-1	-1	-1	0.1598	-1.0	0.2564	-1.0	0.2293	-1.0
min	0.0054	-1.0	0.0708	-1.0	0.0505	-1.0	0.0002	-1.0	-1	-1	-1	0.1452	-1.0	0.0121	-1.0	0.1087	-1.0
25%	0.1685	7.21	0.2585	6.25	0.3561	6.73	0.0515	6.73	-1	-1	-1	0.4853	6.7	0.5179	6.73	0.3376	7.21
50%	0.432	10.79	0.4158	7.19	0.5319	9.35	0.2606	9.35	-1	-1	-1	0.519	7.91	0.6999	10.07	0.5273	8.63
60%	0.4817	12.61	0.4849	8.11	0.5873	9.91	0.5275	11.71	-1	-1	-1	0.5862	9.01	0.7143	10.81	0.6048	10.81
70%	0.5747	14.29	0.5458	10.71	0.662	11.9	0.7238	15.48	-1	-1	-1	0.7142	10.71	0.7369	9.52	0.6579	13.1
75%	0.6305	17.14	0.6147	11.43	0.6952	14.29	0.7971	17.14	-1	-1	-1	0.7421	11.43	0.8316	10.0	0.7121	12.86
80%	0.6861	16.07	0.6622	10.71	0.73	12.5	0.8941	17.86	-1	-1	-1	0.7702	10.71	0.8636	10.71	0.7627	12.5
85%	0.756	21.43	0.703	14.29	0.7857	16.67	0.9438	21.43	-1	-1	-1	0.7999	11.9	0.9043	14.29	0.8119	4.76
86%	0.7638	20.51	0.7153	15.38	0.7919	15.38	0.9495	17.95	-1	-1	-1	0.8101	12.82	0.9091	15.38	0.8339	5.13
87%	0.7703	22.22	0.7197	16.67	0.8012	13.51	0.9559	16.22	-1	-1	-1	0.8118	13.89	0.9106	16.22	0.8374	5.56
88%	0.7735	20.59	0.7337	17.65	0.8157	11.76	0.9604	17.65	-1	-1	-1	0.8186	14.71	0.9125	18.18	0.8447	5.88
89%	0.7833	22.58	0.7507	19.35	0.823	12.9	0.9636	12.9	-1	-1	-1	0.8263	16.13	0.9162	19.35	0.8527	6.45
90%	0.7903	25.0	0.7658	21.43	0.8284	14.29	0.969	14.29	-1	-1	-1	0.8387	14.29	0.9222	21.43	0.8566	7.14
91%	0.798	28.0	0.7694	24.0	0.8461	16.0	0.9765	15.38	-1	-1	-1	0.8554	16.0	0.9282	24.0	0.8646	8.0
92%	0.8039	30.43	0.7769	26.09	0.8488	17.39	0.9786	13.64	-1	-1	-1	0.8642	17.39	0.9303	26.09	0.8725	8.7
93%	0.8179	35.0	0.7868	20.0	0.8564	15.0	0.9807	10.0	-1	-1	-1	0.8742	20.0	0.9329	30.0	0.8825	10.0
94%	0.8217	41.18	0.7976	23.53	0.8602	17.65	0.9848	11.76	-1	-1	-1	0.8915	23.53	0.9368	35.29	0.8883	11.76
95%	0.8247	42.86	0.807	28.57	0.8688	21.43	0.9875	14.29	-1	-1	-1	0.8943	28.57	0.9415	42.86	0.8968	14.29
96%	0.832	41.67	0.8421	33.33	0.8753	25.0	0.9897	16.67	-1	-1	-1	0.9049	33.33	0.9459	50.0	0.8987	16.67
97%	0.8357	33.33	0.8498	44.44	0.886	33.33	0.9925	22.22	-1	-1	-1	0.9187	44.44	0.9512	66.67	0.9029	22.22
98%	0.8408	33.33	0.8673	50.0	0.8951	50.0	0.9958	16.67	-1	-1	-1	0.9306	50.0	0.9818	66.67	0.9082	33.33
max	0.9148	-1.0	0.8899	-1.0	0.9387	-1.0	0.9982	-1.0	-1	-1	-1	0.9666	-1.0	0.9955	-1.0	0.921	-1.0
