	r_TFm_PYPL_pos_low1_mult_28	TFm_PYPL_pos_low1_mult_64	TFm_PYPL_pos_low1_mult_64_per	TFm_PYPL_pos_low1_mult_128	TFm_PYPL_pos_low1_mult_128_per	r_TFm_PYPL_pos_low1_mult_conv2	r_TFm_PYPL_pos_low1_mult_conv	TFm_PYPL_pos_low1__simp_cordo	TFm_PYPL_pos_low1__simp_cordo_per	TFm_PYPL_pos_low1_mult_linear	TFm_PYPL_pos_low1_mult_linear_per	TFm_PYPL_pos_low1_mult_dense2	TFm_PYPL_pos_low1_mult_dense2_per	TFm_PYPL_pos_low1_mult_lstm	TFm_PYPL_pos_low1_mult_lstm_per	TFm_PYPL_pos_low1__mult_gru	TFm_PYPL_pos_low1__mult_gru_per
acc_per		90.31	-1.0	94.55	-1.0	-1	-1	84.25	-1.0	72.95	-1.0	80.62	-1.0	93.07	-1.0	84.12	-1.0
loss		0.24	-1.0	0.15	-1.0	-1	-1	0.33	-1.0	0.55	-1.0	0.44	-1.0	0.20	-1.0	0.37	-1.0
epochs		9	-1.0	9	-1.0	-1	-1	16	-1.0	13	-1.0	8	-1.0	11	-1.0	8	-1.0
df_test_%		17.6	-1.0	20.3	-1.0	-1	-1	31.6	-1.0	18.4	-1.0	20.8	-1.0	27.0	-1.0	25.8	-1.0
positives		21	-1.0	21	-1.0	-1	-1	21	-1.0	21	-1.0	21	-1.0	21	-1.0	21	-1.0
count		265.0	-1.0	265.0	-1.0	-1	-1	265.0	-1.0	265.0	-1.0	265.0	-1.0	265.0	-1.0	265.0	-1.0
mean		0.5761	-1.0	0.5229	-1.0	-1	-1	0.6366	-1.0	0.697	-1.0	0.667	-1.0	0.3183	-1.0	0.5652	-1.0
std		0.1354	-1.0	0.1655	-1.0	-1	-1	0.2677	-1.0	0.1834	-1.0	0.0735	-1.0	0.2977	-1.0	0.1003	-1.0
min		0.2322	-1.0	0.0969	-1.0	-1	-1	0.0294	-1.0	0.1935	-1.0	0.5073	-1.0	0.0004	-1.0	0.3696	-1.0
25%		0.4575	10.61	0.4022	10.05	-1	-1	0.5124	10.55	0.5717	10.61	0.6038	8.04	0.0549	10.55	0.488	10.55
50%		0.5951	12.88	0.5446	13.53	-1	-1	0.7422	15.79	0.714	14.29	0.6787	10.61	0.2145	15.79	0.5683	14.39
60%		0.6228	15.09	0.5772	16.04	-1	-1	0.783	17.92	0.7721	16.04	0.7009	13.21	0.3248	19.81	0.5978	14.15
70%		0.6495	18.75	0.6266	17.5	-1	-1	0.8164	20.0	0.8302	13.75	0.7172	15.0	0.462	21.52	0.6231	16.25
75%		0.6782	20.9	0.6511	18.18	-1	-1	0.8352	19.7	0.8549	16.67	0.7273	16.42	0.594	22.39	0.6292	19.7
80%		0.6951	20.75	0.6737	20.75	-1	-1	0.8512	22.64	0.8785	18.87	0.7365	15.09	0.6622	22.64	0.6379	22.64
85%		0.721	20.0	0.6943	22.5	-1	-1	0.8629	25.0	0.9028	17.5	0.7476	17.5	0.7406	20.0	0.6511	27.5
86%		0.7262	18.92	0.7	24.32	-1	-1	0.8655	24.32	0.9063	18.92	0.7486	18.92	0.7445	21.62	0.6515	24.32
87%		0.7304	17.14	0.7039	22.86	-1	-1	0.8671	25.71	0.9105	20.0	0.7509	20.0	0.7714	22.86	0.6549	22.86
88%		0.7404	18.75	0.7066	18.75	-1	-1	0.871	28.12	0.9216	18.75	0.7518	18.75	0.7888	25.0	0.6564	21.88
89%		0.7427	17.24	0.7203	20.0	-1	-1	0.8738	26.67	0.9303	20.0	0.7533	20.0	0.8113	23.33	0.6594	23.33
90%		0.7504	14.81	0.7224	18.52	-1	-1	0.8747	28.57	0.9355	21.43	0.7542	22.22	0.8127	25.93	0.6609	25.93
91%		0.7547	16.67	0.7247	20.83	-1	-1	0.8807	33.33	0.9392	20.83	0.759	24.0	0.8204	29.17	0.662	25.0
92%		0.7611	18.18	0.7312	22.73	-1	-1	0.8876	36.36	0.9421	13.64	0.7616	19.05	0.8243	27.27	0.6649	27.27
93%		0.7671	20.0	0.7355	21.05	-1	-1	0.894	36.84	0.9456	15.79	0.7624	21.05	0.8263	31.58	0.667	31.58
94%		0.7766	18.75	0.7406	25.0	-1	-1	0.9033	37.5	0.9493	12.5	0.7637	25.0	0.8306	25.0	0.6707	37.5
95%		0.7909	14.29	0.7591	28.57	-1	-1	0.9139	42.86	0.9528	14.29	0.7682	28.57	0.8332	28.57	0.6974	35.71
96%		0.7985	9.09	0.7746	27.27	-1	-1	0.9305	45.45	0.9559	20.0	0.7697	25.0	0.8395	27.27	0.7571	45.45
97%		0.8004	11.11	0.7931	25.0	-1	-1	0.9389	50.0	0.961	25.0	0.7734	12.5	0.8436	37.5	0.8153	37.5
98%		0.8091	16.67	0.8012	33.33	-1	-1	0.9461	33.33	0.9637	33.33	0.7826	16.67	0.8575	33.33	0.852	50.0
max		0.8688	-1.0	0.919	-1.0	-1	-1	0.964	-1.0	0.9818	-1.0	0.7948	-1.0	0.9773	-1.0	0.8804	-1.0
