	r_TFm_UBER_neg_low1_mult_28	r_TFm_UBER_neg_low1_mult_64	TFm_UBER_neg_low1_mult_128	TFm_UBER_neg_low1_mult_128_per	r_TFm_UBER_neg_low1_mult_conv2	r_TFm_UBER_neg_low1_mult_conv	TFm_UBER_neg_low1__simp_cordo	TFm_UBER_neg_low1__simp_cordo_per	TFm_UBER_neg_low1_mult_linear	TFm_UBER_neg_low1_mult_linear_per	TFm_UBER_neg_low1_mult_dense2	TFm_UBER_neg_low1_mult_dense2_per	TFm_UBER_neg_low1_mult_lstm	TFm_UBER_neg_low1_mult_lstm_per	TFm_UBER_neg_low1__mult_gru	TFm_UBER_neg_low1__mult_gru_per
acc_per			97.78	-1.0	-1	-1	82.19	-1.0	74.60	-1.0	89.31	-1.0	96.91	-1.0	95.23	-1.0
loss			0.07	-1.0	-1	-1	0.41	-1.0	0.54	-1.0	0.27	-1.0	0.09	-1.0	0.14	-1.0
epochs			12	-1.0	-1	-1	10	-1.0	16	-1.0	8	-1.0	13	-1.0	19	-1.0
df_test_%			13.8	-1.0	-1	-1	11.2	-1.0	7.2	-1.0	9.8	-1.0	17.6	-1.0	31.6	-1.0
positives			11	-1.0	-1	-1	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0
count			265.0	-1.0	-1	-1	265.0	-1.0	265.0	-1.0	265.0	-1.0	265.0	-1.0	265.0	-1.0
mean			0.4376	-1.0	-1	-1	0.5414	-1.0	0.7065	-1.0	0.5076	-1.0	0.4851	-1.0	0.4829	-1.0
std			0.2836	-1.0	-1	-1	0.1138	-1.0	0.1714	-1.0	0.1749	-1.0	0.37	-1.0	0.4054	-1.0
min			0.0022	-1.0	-1	-1	0.3414	-1.0	0.0822	-1.0	0.1659	-1.0	0.0001	-1.0	0.0006	-1.0
25%			0.182	5.05	-1	-1	0.4541	4.02	0.6147	4.55	0.3362	4.02	0.079	5.53	0.0317	5.56
50%			0.4016	7.52	-1	-1	0.5216	4.51	0.7235	5.26	0.5799	5.26	0.5267	8.27	0.4667	8.33
60%			0.5056	9.43	-1	-1	0.554	5.66	0.7737	6.6	0.6146	5.66	0.6199	8.49	0.6985	10.38
70%			0.631	7.5	-1	-1	0.5835	6.25	0.8071	8.75	0.6494	5.0	0.7849	11.25	0.8995	13.75
75%			0.6878	8.96	-1	-1	0.6118	6.06	0.8377	9.09	0.6621	5.97	0.8604	13.64	0.9378	16.67
80%			0.724	11.32	-1	-1	0.6628	7.55	0.8615	7.55	0.6736	5.66	0.913	15.09	0.9631	18.87
85%			0.8008	10.0	-1	-1	0.6944	7.5	0.8847	5.0	0.686	7.5	0.9499	17.5	0.976	22.5
86%			0.8071	10.81	-1	-1	0.6994	8.11	0.8943	5.41	0.6883	8.11	0.9537	16.22	0.9774	24.32
87%			0.8131	11.43	-1	-1	0.7066	8.57	0.8991	5.71	0.6903	8.57	0.9688	14.29	0.9783	25.71
88%			0.8188	12.5	-1	-1	0.7167	9.38	0.9044	6.25	0.6922	9.38	0.9711	15.62	0.9794	25.0
89%			0.8278	13.33	-1	-1	0.7292	10.0	0.9102	6.67	0.6937	10.34	0.9757	16.67	0.981	28.57
90%			0.8366	14.81	-1	-1	0.731	11.11	0.9121	7.14	0.6954	11.11	0.9794	18.52	0.9824	29.63
91%			0.8465	12.5	-1	-1	0.7329	12.5	0.917	8.33	0.7017	8.33	0.9821	20.83	0.984	33.33
92%			0.8619	13.64	-1	-1	0.7352	13.64	0.9193	9.52	0.7073	9.09	0.9893	18.18	0.9858	36.36
93%			0.8661	15.79	-1	-1	0.7375	10.53	0.9236	5.26	0.7123	10.53	0.9909	15.79	0.9884	36.84
94%			0.8848	18.75	-1	-1	0.7421	12.5	0.9291	6.25	0.7192	12.5	0.9918	18.75	0.9912	37.5
95%			0.895	14.29	-1	-1	0.7452	7.14	0.9421	7.14	0.7221	14.29	0.9943	21.43	0.9924	28.57
96%			0.92	9.09	-1	-1	0.7489	9.09	0.9461	9.09	0.7304	18.18	0.995	16.67	0.993	27.27
97%			0.94	12.5	-1	-1	0.7535	14.29	0.9545	12.5	0.7344	12.5	0.9956	25.0	0.9938	33.33
98%			0.9507	16.67	-1	-1	0.7616	16.67	0.9632	16.67	0.7443	16.67	0.998	33.33	0.9951	50.0
max			0.9872	-1.0	-1	-1	0.7695	-1.0	0.9783	-1.0	0.783	-1.0	0.9999	-1.0	0.9975	-1.0
