	TFm_UBER_neg_reg4__mult_gru	TFm_UBER_neg_low1__mult_gru	TFm_UBER_neg_reg4__mult_gru_per	TFm_UBER_neg_low1__mult_gru_per	TFm_UBER_pos_low1_mult_64	TFm_UBER_pos_low1__mult_gru	TFm_UBER_pos_low1_mult_64_per	TFm_UBER_pos_low1__mult_gru_per	TFm_PYPL_neg_reg4_mult_64	TFm_PYPL_neg_low1_mult_lstm	TFm_PYPL_neg_reg4_mult_64_per	TFm_PYPL_neg_low1_mult_lstm_per	TFm_PYPL_pos_reg4_mult_128	TFm_PYPL_pos_low1_mult_lstm	TFm_PYPL_pos_reg4_mult_128_per	TFm_PYPL_pos_low1_mult_lstm_per
acc_per	94.85	95.23	-1.0	-1.0	92.28	95.63	-1.0	-1.0	89.09	95.91	-1.0	-1.0	96.07	93.07	-1.0	-1.0
loss	0.15	0.14	-1.0	-1.0	0.2	0.13	-1.0	-1.0	0.29	0.13	-1.0	-1.0	0.1	0.2	-1.0	-1.0
epochs	16.0	19.0	-1.0	-1.0	12.0	15.0	-1.0	-1.0	9.0	17.0	-1.0	-1.0	15.0	11.0	-1.0	-1.0
df_test_%	32.2	31.6	-1.0	-1.0	28.2	38.5	-1.0	-1.0	24.4	25.8	-1.0	-1.0	24.0	27.0	-1.0	-1.0
positives	15.0	11.0	-1.0	-1.0	18.0	18.0	-1.0	-1.0	12.0	14.0	-1.0	-1.0	15.0	21.0	-1.0	-1.0
count	265.0	265.0	-1.0	-1.0	265.0	265.0	-1.0	-1.0	270.0	265.0	-1.0	-1.0	265.0	265.0	-1.0	-1.0
mean	0.5608	0.4829	-1.0	-1.0	0.461	0.4795	-1.0	-1.0	0.4659	0.3022	-1.0	-1.0	0.369	0.3183	-1.0	-1.0
std	0.3907	0.4054	-1.0	-1.0	0.2827	0.4056	-1.0	-1.0	0.2548	0.3826	-1.0	-1.0	0.3419	0.2977	-1.0	-1.0
min	0.0006	0.0006	-1.0	-1.0	0.0183	0.002	-1.0	-1.0	0.039	0.0	-1.0	-1.0	0.0003	0.0004	-1.0	-1.0
25%	0.087	0.0317	7.58	5.56	0.213	0.0434	9.05	8.04	0.1824	0.0	5.45	5.28	0.0643	0.0549	7.54	10.55
50%	0.7375	0.4667	10.61	8.33	0.4396	0.4216	10.53	9.77	0.5178	0.0231	8.15	9.09	0.2611	0.2145	10.61	15.79
60%	0.8369	0.6985	13.21	10.38	0.5264	0.733	12.26	12.26	0.5736	0.2315	9.26	10.38	0.3882	0.3248	13.21	19.81
70%	0.9019	0.8995	17.5	13.75	0.6408	0.8863	13.75	16.25	0.6187	0.5509	9.88	11.25	0.5773	0.462	15.0	21.52
75%	0.9258	0.9378	19.7	16.67	0.7055	0.918	16.42	18.18	0.6552	0.6663	10.29	13.43	0.6455	0.594	18.18	22.39
80%	0.9474	0.9631	22.64	18.87	0.7473	0.953	18.87	22.64	0.6972	0.7955	12.96	15.09	0.7376	0.6622	20.75	22.64
85%	0.9571	0.976	25.0	22.5	0.8256	0.97	17.5	30.0	0.7428	0.8578	17.07	17.5	0.8503	0.7406	25.0	20.0
86%	0.9608	0.9774	24.32	24.32	0.8308	0.9734	18.92	31.58	0.7625	0.889	18.42	18.92	0.8817	0.7445	24.32	21.62
87%	0.9635	0.9783	22.86	25.71	0.8355	0.9751	20.0	34.29	0.7728	0.9178	20.0	20.0	0.8911	0.7714	22.86	22.86
88%	0.9666	0.9794	25.0	25.0	0.8385	0.9769	21.88	34.38	0.7861	0.9365	21.21	21.88	0.9033	0.7888	21.88	25.0
89%	0.9713	0.981	26.67	28.57	0.8482	0.9784	23.33	36.67	0.7998	0.9467	20.0	23.33	0.9281	0.8113	23.33	23.33
90%	0.9743	0.9824	29.63	29.63	0.8655	0.9811	25.93	37.04	0.8081	0.9584	22.22	25.93	0.9305	0.8127	25.93	25.93
91%	0.978	0.984	33.33	33.33	0.8832	0.9842	29.17	40.0	0.8114	0.9631	24.0	25.0	0.9539	0.8204	29.17	29.17
92%	0.9795	0.9858	36.36	36.36	0.8892	0.9848	31.82	40.91	0.8242	0.9672	27.27	27.27	0.9681	0.8243	22.73	27.27
93%	0.9834	0.9884	42.11	36.84	0.9016	0.9861	36.84	42.11	0.8383	0.9783	31.58	31.58	0.9752	0.8263	21.05	31.58
94%	0.9847	0.9912	43.75	37.5	0.9124	0.9888	43.75	43.75	0.842	0.9821	35.29	25.0	0.9807	0.8306	25.0	25.0
95%	0.9868	0.9924	35.71	28.57	0.9441	0.9896	42.86	40.0	0.8488	0.9834	35.71	30.77	0.9821	0.8332	28.57	28.57
96%	0.9884	0.993	36.36	27.27	0.9542	0.9899	45.45	36.36	0.8541	0.9884	45.45	27.27	0.9856	0.8395	36.36	27.27
97%	0.9921	0.9938	37.5	33.33	0.9653	0.9916	50.0	37.5	0.8587	0.9914	44.44	22.22	0.9897	0.8436	50.0	37.5
98%	0.9941	0.9951	50.0	50.0	0.9747	0.9948	50.0	33.33	0.87	0.9921	50.0	33.33	0.9926	0.8575	50.0	33.33
max	0.9969	0.9975	-1.0	-1.0	1.0	0.9983	-1.0	-1.0	0.9038	0.9959	-1.0	-1.0	0.9994	0.9773	-1.0	-1.0
